z;small_spruce;large_spruce;total
0.0;0.0;0.0;0.0
0.25;0.34712779119877873;0.04061299218309581;0.24627377600652176
0.5;0.4481562188045554;0.020306496091547905;0.30737879933551115
0.75;0.549184646410332;0.0;0.3684838226645005
1.0;0.47919712618751403;0.02286275280269488;0.3290472672772862
1.25;0.409209605964696;0.04572550560538976;0.289610711890072
1.5;0.38228365554060895;0.09387760290379864;0.2873880468862174
1.75;0.35535770511652187;0.14202970020220754;0.28516538188236273
2.0;0.32036810165402874;0.20919627260269885;0.2837887085151018
2.25;0.28537849819153566;0.2763628450031902;0.28241203514784097
2.5;0.1894709059232036;0.2676938003342473;0.21520895513533983
2.75;0.09356331365487153;0.2590247556653044;0.14800587512283875
3.0;0.07026185045891527;0.23294352739348392;0.12378977266609502
3.25;0.046960387262958994;0.2068622991216634;0.09957367020935132
3.5;0.023480193631479497;0.28377228477402355;0.10912533245941353
3.75;0.0;0.3606822704263837;0.11867699470947572
4.0;0.0;0.4232086811325881;0.1392503555897058
4.25;0.0;0.48573509183879254;0.1598237164699359
4.5;0.0;0.2711067735481325;0.08920354497059094
4.75;0.0;0.056478455257472485;0.01858337347124597
5.0;0.0;0.05446401382453645;0.017920552271311518
5.25;0.0;0.05244957239160041;0.017257731071377062
5.5;0.0;0.08235129309624936;0.027096435773093563
5.75;0.0;0.1122530138008983;0.036935140474810065
6.0;0.0;0.0;0.0
6.25;0.0;0.0;0.0
6.5;0.0;0.0;0.0
6.75;0.0;0.0;0.0
7.0;0.0;0.0;0.0
7.25;0.0;0.0;0.0
7.5;0.0;0.0;0.0
7.75;0.0;0.0;0.0
8.0;0.0;0.0;0.0
8.25;0.0;0.0;0.0
8.5;0.0;0.0;0.0
8.75;0.0;0.0;0.0
9.0;0.0;0.0;0.0
9.25;0.0;0.0;0.0
9.5;0.0;0.0;0.0
9.75;0.0;0.0;0.0
10.0;0.0;0.0;0.0
10.25;0.0;0.0;0.0
10.5;0.0;0.0;0.0
10.75;0.0;0.0;0.0
11.0;0.0;0.0;0.0
