Tree #,0.0-0.5m,0.5-1.0m,1.0-1.5m,1.5-2.0m,2.0-2.5m,2.5-3.0m,3.0-3.5m,3.5-4.0m,4.0-4.5m,4.5-5.0m,5.0-5.5m,5.5-6.0m,Leaf area total (m2/m-2)
pfrr_tree_1,0.033842913,0,0.119620862,0.495979595,0,0,0,0,0,0,0,0,0.64944337
pfrr_tree_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pfrr_tree_3,0.477632054,0.900264053,0.608746735,0.33970622,0.148568259,0,0,0,0,0,0,0,2.474917322
pfrr_tree_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pfrr_tree_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pfrr_tree_6,0,0.261803666,0.396323923,0.665577287,0.765318098,0.479121993,0.006640873,0,0,0,0,0,2.574785842
pfrr_tree_7,0.06708985,0.305778168,0.235921287,0,0,0,0,0,0,0,0,0,0.608789305
pfrr_tree_8,0.17840962,0.108041903,0.133839142,0,0,0,0,0,0,0,0,0,0.420290666
pfrr_tree_9,0.159636382,0.372910588,0.425441599,0,0,0,0,0,0,0,0,0,0.957988569
pfrr_tree_10,0.222213843,0.126517154,0.17560002,0.240093118,0.298924446,0,0,0,0,0,0,0,1.063348581
pfrr_tree_11,0.093568204,0.016687323,0,0,0,0,0,0,0,0,0,0,0.110255528
pfrr_tree_12,0.191393379,0.00706657,0,0,0,0,0,0,0,0,0,0,0.19845995
pfrr_tree_13,0.154528017,0,0,0,0,0,0,0,0,0,0,0,0.154528017
pfrr_tree_14,0.165255582,0.052531012,0,0,0,0,0,0,0,0,0,0,0.217786594
pfrr_tree_15,0,0,0,0,0.071091402,0.104466048,0.156060527,0.14418358,0,0,0,0,0.475801557
pfrr_tree_16,0.034013192,0.660681771,0,0.078370821,0.248564489,0,0.233835372,0,0,0,0,0,1.255465645
pfrr_tree_17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pfrr_tree_18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pfrr_tree_19,0,0,0.080754724,0,0.936959136,0.511687815,0.483549242,0.92061237,1.216003531,0,0,0,4.149566819
pfrr_tree_20,0.186668142,0,0.129411893,0.464861143,0.092376253,0.277256468,0.151122441,0.275000273,0.582779217,0.141671967,0.009365334,0,2.310513133
pfrr_tree_21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pfrr_tree_22,0,0,0,0.187945233,0.16981054,0.297136518,0.160062079,0.317995672,0.433785261,0.117918074,0.231706887,0.515944785,2.43230505
